id,novelId,startOrder,endOrder,runMode,autoReview,autoRepair,skipCompleted,qualityThreshold,repairMode,status,progress,completedCount,totalCount,retryCount,maxRetries,pendingManualRecovery,heartbeatAt,currentStage,currentItemKey,currentItemLabel,cancelRequestedAt,error,lastErrorType,promptTokens,completionTokens,totalTokens,llmCallCount,lastTokenRecordedAt,payload,startedAt,finishedAt,createdAt,updatedAt
cmr25sbs2046kv16zrvyuw8vc,cmr23pgks000fv16zpwg1ms38,1,1,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,39258,22505,61763,7,2026-07-01T14:23:52.533+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T14:16:25.267+00:00,2026-07-01T14:23:52.876+00:00,2026-07-01T14:16:25.250+00:00,2026-07-01T14:23:52.878+00:00
cmr261xej0497v16zwjf1pmff,cmr23pgks000fv16zpwg1ms38,2,2,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,35045,19370,54415,6,2026-07-01T14:30:00.358+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T14:23:53.191+00:00,2026-07-01T14:30:00.594+00:00,2026-07-01T14:23:53.179+00:00,2026-07-01T14:30:00.595+00:00
cmr269tdt04c0v16zatpq2q2c,cmr23pgks000fv16zpwg1ms38,3,3,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,24653,16677,41330,4,2026-07-01T14:34:42.506+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T14:30:01.226+00:00,2026-07-01T14:34:42.615+00:00,2026-07-01T14:30:01.217+00:00,2026-07-01T14:34:42.616+00:00
cmr26fv0604h7v16zpk3a3fay,cmr23pgks000fv16zpwg1ms38,4,4,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,52042,23561,75603,6,2026-07-01T14:42:26.319+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第4章（coherence=85, repetition=88, engagement=82）""]}",2026-07-01T14:34:43.264+00:00,2026-07-01T14:42:26.530+00:00,2026-07-01T14:34:43.254+00:00,2026-07-01T14:42:26.530+00:00
cmr26ptjl04nkv16znlnw2w0b,cmr23pgks000fv16zpwg1ms38,5,5,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,34069,22021,56090,5,2026-07-01T14:49:00.835+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T14:42:27.931+00:00,2026-07-01T14:49:01.101+00:00,2026-07-01T14:42:27.921+00:00,2026-07-01T14:49:01.102+00:00
cmr26y95704quv16zt7sgn72z,cmr23pgks000fv16zpwg1ms38,6,6,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,33046,24263,57309,5,2026-07-01T14:54:48.869+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第6章（coherence=70, repetition=85, engagement=75）"",""第6章建议局部处理（影响章节=6,7,8；原因=高优先级审计问题未解决：陈默作为 required character appearance 未以任何形式出场，仅作为对话框静默存在。；正文未出现小菲 goal changed 的任何内容，而这是本章 must hit now 的核心推进点。。）""]}",2026-07-01T14:49:01.402+00:00,2026-07-01T14:54:49.083+00:00,2026-07-01T14:49:01.387+00:00,2026-07-01T14:54:49.084+00:00
cmr275q6g04uiv16zg289p2nk,cmr23pgks000fv16zpwg1ms38,7,7,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,35113,16976,52089,4,2026-07-01T15:00:14.497+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T14:54:50.069+00:00,2026-07-01T15:00:14.783+00:00,2026-07-01T14:54:50.056+00:00,2026-07-01T15:00:14.784+00:00
cmr27covk04x0v16zaoxd4369,cmr23pgks000fv16zpwg1ms38,8,8,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,40583,22837,63420,6,2026-07-01T15:17:20.257+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第8章（coherence=70, repetition=80, engagement=75）"",""第8章建议局部处理（影响章节=8,9,10；原因=高优先级审计问题未解决：多个必须推进项未兑现：plot/praise_event_missing、payoff/payoff_missing_progress、阿条的未来意识转折。；正文在陈默消息处截断，未出现深夜独处、预感未来等结尾钩子。。）""]}",2026-07-01T15:00:14.970+00:00,2026-07-01T15:17:20.607+00:00,2026-07-01T15:00:14.960+00:00,2026-07-01T15:17:20.608+00:00
cmr27yogx04zov16zphxk1p9j,cmr23pgks000fv16zpwg1ms38,9,9,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,35645,20192,55837,5,2026-07-01T15:22:32.448+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T15:17:20.883+00:00,2026-07-01T15:22:32.692+00:00,2026-07-01T15:17:20.865+00:00,2026-07-01T15:22:32.692+00:00
cmr285d8o052ov16zy3ls6jcd,cmr23pgks000fv16zpwg1ms38,10,10,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,55663,20462,76125,7,2026-07-01T15:28:20.001+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr22h99w0000v16zwanj1p5t"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-01T15:22:32.914+00:00,2026-07-01T15:28:20.331+00:00,2026-07-01T15:22:32.904+00:00,2026-07-01T15:28:20.332+00:00
cmr30lv2g0ak6v16zm71ztu78,cmr23pgks000fv16zpwg1ms38,11,11,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,58196,26478,84674,6,2026-07-02T04:45:31.489+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T04:39:11.762+00:00,2026-07-02T04:45:31.765+00:00,2026-07-02T04:39:11.752+00:00,2026-07-02T04:45:31.766+00:00
cmr30u1e20an5v16zxpjty6wr,cmr23pgks000fv16zpwg1ms38,12,12,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,70770,37035,107805,8,2026-07-02T04:54:01.131+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第12章（coherence=85, repetition=90, engagement=83）""]}",2026-07-02T04:45:33.207+00:00,2026-07-02T04:54:01.395+00:00,2026-07-02T04:45:33.194+00:00,2026-07-02T04:54:01.396+00:00
cmr314xv80aqrv16zqetrq01j,cmr23pgks000fv16zpwg1ms38,13,13,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,59724,22788,82512,6,2026-07-02T05:00:09.140+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第13章（coherence=85, repetition=82, engagement=83）""]}",2026-07-02T04:54:01.885+00:00,2026-07-02T05:00:09.442+00:00,2026-07-02T04:54:01.844+00:00,2026-07-02T05:00:09.443+00:00
cmr31cumm0attv16z7wgznjbj,cmr23pgks000fv16zpwg1ms38,14,14,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,1,1,0,,,,,,,,65651,27907,93558,7,2026-07-02T05:07:25.208+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]},""qualityAlertDetails"":[""第14章（coherence=83, repetition=85, engagement=82）"",""第14章建议局部处理（影响章节=14,15,16；原因=高优先级审计问题未解决：李晴仅延续关心，未达成本章要求的‘goal changed’（如从旁观转为主动介入）。；阿力全程未展现目标变化，仍停留在回避模式，未体现本章应有的内在转折。。）""]}",2026-07-02T05:00:10.903+00:00,2026-07-02T05:07:25.471+00:00,2026-07-02T05:00:10.894+00:00,2026-07-02T05:07:25.472+00:00
cmr31m6wj0awhv16zbewyubut,cmr23pgks000fv16zpwg1ms38,15,15,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,39554,25921,65475,6,2026-07-02T05:13:47.912+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T05:07:26.717+00:00,2026-07-02T05:13:48.103+00:00,2026-07-02T05:07:26.707+00:00,2026-07-02T05:13:48.104+00:00
cmr31udg30azov16zy6muc3w8,cmr23pgks000fv16zpwg1ms38,16,16,fast,1,1,1,75,light_repair,succeeded,0.999,1,1,0,1,0,,,,,,,,35253,17185,52438,5,2026-07-02T05:18:35.243+00:00,"{""provider"":""deepseek"",""model"":""deepseek-v4-pro"",""temperature"":0.7,""workflowTaskId"":""cmr2y4off05chv16z9k5ip0ij"",""maxRetries"":1,""runMode"":""fast"",""autoReview"":true,""autoRepair"":true,""skipCompleted"":true,""qualityThreshold"":75,""repairMode"":""light_repair"",""artifactSyncMode"":""adaptive"",""controlPolicy"":{""kickoffMode"":""director_start"",""advanceMode"":""auto_to_execution"",""reviewCheckpoints"":[""chapter_batch""]}}",2026-07-02T05:13:48.446+00:00,2026-07-02T05:18:35.507+00:00,2026-07-02T05:13:48.435+00:00,2026-07-02T05:18:35.508+00:00
